name,href,page,physical_damage,min_physical_damage,max_physical_damage,avg_physical_damage,critical_hit_chance,attacks_per_second,requirements,required_level,required_dex,implicit
Clay Trap,Clay_Trap,Traps,,,,,,,Level 2,2,,
Clamping Trap,Clamping_Trap,Traps,,,,,,,Level 6,6,,
Shrapnel Trap,Shrapnel_Trap,Traps,,,,,,,Level 10,10,,
Urn Trap,Urn_Trap,Traps,,,,,,,Level 16,16,,
Incense Trap,Incense_Trap,Traps,,,,,,,Level 22,22,,(20 - 30) % increased Cooldown Recovery Rate for throwing Traps
Bladed Trap,Bladed_Trap,Traps,,,,,,,Level 27,27,,
Dart Trap,Dart_Trap,Traps,,,,,,,Level 33,33,,
Spike Trap,Spike_Trap,Traps,,,,,,,Level 38,38,,
Coiled Trap,Coiled_Trap,Traps,,,,,,,Level 45,45,,
Lead Trap,Lead_Trap,Traps,,,,,,,Level 49,49,,
Medallion Trap,Medallion_Trap,Traps,,,,,,,Level 52,52,,
Intricate Trap,Intricate_Trap,Traps,,,,,,,Level 56,56,,
Refined Trap,Refined_Trap,Traps,,,,,,,Level 65,65,,
Incense Trap,Incense_Trap,Traps,,,,,,,Level 22,22,,(20 - 30) % increased Cooldown Recovery Rate for throwing Traps
Changeling Talisman,Changeling_Talisman,Talismans,9-15,9,15,12.0,8%,1.25,,,,
Nettle Talisman,Nettle_Talisman,Talismans,12-20,12,20,16.0,11%,1.25,"Level 5 , 9 Str , 8 Int",5,,
Cinderbark Talisman,Cinderbark_Talisman,Talismans,12.6-25.2,6,25,15.5,8%,1.2,"Level 10 , 15 Str , 11 Int",10,,(50 - 80) % increased Flammability Magnitude local weapon implicit hidden % base damage is fire [30]
Familial Talisman,Familial_Talisman,Talismans,20-34,20,34,27.0,8%,1.25,"Level 16 , 21 Str , 16 Int",16,,Minions deal (30 - 50) % increased Damage
Frenzied Talisman,Frenzied_Talisman,Talismans,23-38,23,38,30.5,8%,1.4,"Level 22 , 28 Str , 20 Int",22,,
Primal Talisman,Primal_Talisman,Talismans,31-46,31,46,38.5,9%,1.3,"Level 28 , 34 Str , 25 Int",28,,+(14 - 18) % to Block chance
Rabid Talisman,Rabid_Talisman,Talismans,31-58,31,58,44.5,8%,1.25,"Level 34 , 40 Str , 29 Int",34,,+(7 - 10) to Maximum Rage
Vicious Talisman,Vicious_Talisman,Talismans,43-71,43,71,57.0,8%,1.25,"Level 40 , 47 Str , 34 Int",40,,
Voltfang Talisman,Voltfang_Talisman,Talismans,16.1-91,1,91,46.0,8%,1.3,"Level 46 , 53 Str , 38 Int",46,,(20 - 30) % increased Magnitude of Shock you inflict local weapon implicit hidden % base damage is lightning [30]
Lumbering Talisman,Lumbering_Talisman,Talismans,71-107,71,107,89.0,5%,1.1,"Level 52 , 60 Str , 43 Int",52,,
Roaring Talisman,Roaring_Talisman,Talismans,57-96,57,96,76.5,8%,1.25,"Level 58 , 66 Str , 47 Int",58,,+(7 - 10) to Maximum Rage
Wingbeat Talisman,Wingbeat_Talisman,Talismans,45-83,45,83,64.0,7%,1.45,"Level 65 , 74 Str , 52 Int",65,,
Condemned Talisman,Condemned_Talisman,Talismans,68-113,68,113,90.5,9%,1.25,"Level 65 , 74 Str , 52 Int",65,,(10 - 20) % increased Effect of your Mark Skills
Howling Talisman,Howling_Talisman,Talismans,52-78,52,78,65.0,9%,1.3,"Level 55 , 63 Str , 45 Int",55,,+(14 - 18) % to Block chance
Fury Talisman,Fury_Talisman,Talismans,49-91,49,91,70.0,8%,1.25,"Level 59 , 67 Str , 48 Int",59,,+(7 - 10) to Maximum Rage
Cruel Talisman,Cruel_Talisman,Talismans,62-103,62,103,82.5,8%,1.25,"Level 63 , 72 Str , 51 Int",63,,
Runeforged Changeling Talisman,Runeforged_Changeling_Talisman,Talismans,91-151,91,151,121.0,8%,1.25,"Level 38 , 45 Str , 32 Int",38,,
Runeforged Nettle Talisman,Runeforged_Nettle_Talisman,Talismans,51-86,51,86,68.5,11%,1.25,"Level 38 , 45 Str , 32 Int",38,,
Runemastered Nettle Talisman,Runemastered_Nettle_Talisman,Talismans,68-114,68,114,91.0,11%,1.25,"Level 55 , 63 Str , 45 Int",55,,
Runeforged Familial Talisman,Runeforged_Familial_Talisman,Talismans,54-91,54,91,72.5,8%,1.25,"Level 38 , 45 Str , 32 Int",38,,Minions deal (30 - 50) % increased Damage
Runemastered Familial Talisman,Runemastered_Familial_Talisman,Talismans,73-122,73,122,97.5,8%,1.25,"Level 55 , 63 Str , 45 Int",55,,Minions deal (51 - 100) % increased Damage
Runeforged Vicious Talisman,Runeforged_Vicious_Talisman,Talismans,123-205,123,205,164.0,8%,1.25,"Level 65 , 74 Str , 52 Int",65,,
Spiny Talisman,Spiny_Talisman,Talismans,60-99,60,99,79.5,11%,1.25,"Level 67 , 86 Str , 65 Int",67,,
Ashbark Talisman,Ashbark_Talisman,Talismans,50.4-105,4,105,54.5,8%,1.2,"Level 72 , 94 Str , 67 Int",72,,(50 - 80) % increased Flammability Magnitude local weapon implicit hidden % base damage is fire [30]
Fang Talisman,Fang_Talisman,Talismans,70-116,70,116,93.0,8%,1.25,"Level 77 , 89 Str , 68 Int",77,,Minions deal (30 - 50) % increased Damage
Fungal Talisman,Fungal_Talisman,Talismans,59-98,59,98,78.5,8%,1.4,"Level 78 , 96 Str , 70 Int",78,,
Alpha Talisman,Alpha_Talisman,Talismans,63-94,63,94,78.5,9%,1.3,"Level 75 , 98 Str , 72 Int",75,,+(14 - 18) % to Block chance
Maji Talisman,Maji_Talisman,Talismans,61-114,61,114,87.5,8%,1.25,"Level 79 , 100 Str , 67 Int",79,,+(7 - 10) to Maximum Rage
Wildwood Talisman,Wildwood_Talisman,Talismans,67-112,67,112,89.5,8%,1.25,"Level 70 , 98 Str , 72 Int",70,,
Thunder Talisman,Thunder_Talisman,Talismans,23.1-130.9,1,130,65.5,8%,1.3,"Level 77 , 102 Str , 72 Int",77,,(20 - 30) % increased Magnitude of Shock you inflict local weapon implicit hidden % base damage is lightning [30]
Jade Talisman,Jade_Talisman,Talismans,101-151,101,151,126.0,5%,1.1,"Level 78 , 109 Str , 65 Int",78,,
Crimson Amulet,Crimson_Amulet,Amulets,,,,,,,,,,(2 - 4) Life Regeneration per second
Azure Amulet,Azure_Amulet,Amulets,,,,,,,,,,(20 - 30) % increased Mana Regeneration Rate
Amber Amulet,Amber_Amulet,Amulets,,,,,,,Level 8,8,,+(10 - 15) to Strength
Jade Amulet,Jade_Amulet,Amulets,,,,,,,Level 8,8,,+(10 - 15) to Dexterity
Lapis Amulet,Lapis_Amulet,Amulets,,,,,,,Level 8,8,,+(10 - 15) to Intelligence
Lunar Amulet,Lunar_Amulet,Amulets,,,,,,,Level 14,14,,+(20 - 30) to maximum Energy Shield
Bloodstone Amulet,Bloodstone_Amulet,Amulets,,,,,,,Level 18,18,,+(30 - 40) to maximum Life
Stellar Amulet,Stellar_Amulet,Amulets,,,,,,,Level 25,25,,+(5 - 7) to all Attributes
Solar Amulet,Solar_Amulet,Amulets,,,,,,,Level 30,30,,+(10 - 15) to Spirit
Gold Amulet,Gold_Amulet,Amulets,,,,,,,Level 35,35,,(12 - 20) % increased Rarity of Items found
Pearlescent Amulet,Pearlescent_Amulet,Amulets,,,,,,,Level 8,8,,+(7 - 10) % to all Elemental Resistances
Veridical Chain,Veridical_Chain,Amulets,,,,,,,Level 52,52,,+(30 - 40) to maximum Runic Ward
Runemastered Veridical Chain,Runemastered_Veridical_Chain,Amulets,,,,,,,Level 65,65,,+(30 - 40) to maximum Runic Ward | +(2 - 3) % to Maximum Cold Resistance
Runemastered Veridical Chain,Runemastered_Veridical_Chain,Amulets,,,,,,,Level 65,65,,+(30 - 40) to maximum Runic Ward | +(1 - 2) to Level of all Cold Skills
Runemastered Veridical Chain,Runemastered_Veridical_Chain,Amulets,,,,,,,Level 65,65,,(15 - 20) % increased maximum Runic Ward
Lament Amulet,Lament_Amulet,Amulets,,,,,,,Level 42,42,,Grants Skill: Level 11 Arctic Armour | Grants Skill: Level 11 Herald of Ash | Grants Skill: Level 11 Herald of Ice | Grants Skill: Level 11 Herald of Thunder | Grants Skill: Level 11 Plague Bearer | Grants Skill: Level 11 Barrier Invocation | Grants Skill: Level 11 Lingering Illusion | Grants Skill: Level 11 Ghost Dance | Grants Skill: Level 11 Mana Remnants | Grants Skill: Level 11 Magma Barrier | Grants Skill: Level 11 Raging Spirits | Grants Skill: Level 11 Wind Dancer | Grants Skill: Level 11 Cast on Minion Death | Grants Skill: Level 11 Scavenged Plating | Grants Skill: Level 11 War Banner | Grants Skill: Level 11 Defiance Banner | Grants Skill: Level 11 Dread Banner | Grants Skill: Level 11 Time of Need | Grants Skill: Level 11 Attrition | Grants Skill: Level 11 Charge Regulation | Grants Skill: Level 11 Shard Scavenger | Grants Skill: Level 11 Overwhelming Presence | Grants Skill: Level 11 Alchemist's Boon | Grants Skill: Level 11 Reaper's Invocation | Grants Skill: Level 11 Berserk | Grants Skill: Level 11 Herald of Plague | Grants Skill: Level 11 Herald of Blood | Grants Skill: Level 11 Withering Presence | Grants Skill: Level 11 Ravenous Swarm | Grants Skill: Level 11 Combat Frenzy | Grants Skill: Level 11 Trail of Caltrops | Grants Skill: Level 11 Convalescence | Grants Skill: Level 11 Iron Ward | Grants Skill: Level 11 Siphon Elements | Grants Skill: Level 11 Briarpatch | Grants Skill: Level 11 Savage Fury | Grants Skill: Level 11 Barkskin | -1 Prefix Modifier allowed
Portent Amulet,Portent_Amulet,Amulets,,,,,,,Level 42,42,,Grants Skill: Level 11 Wolf Pack | Grants Skill: Level 11 Blink | Grants Skill: Level 11 Elemental Invocation | Grants Skill: Level 11 Elemental Conflux | Grants Skill: Level 11 Sacrifice | Grants Skill: Level 11 Mirage Archer | Grants Skill: Level 11 Feral Invocation | -1 Suffix Modifier allowed
Absent Amulet,Absent_Amulet,Amulets,,,,,,,Level 50,50,,Grants Skill: Level 12 Cast on Elemental Ailment | Grants Skill: Level 12 Cast on Critical | Grants Skill: Level 12 Cast on Dodge | Grants Skill: Level 12 Rhoa Mount | Grants Skill: Level 12 Archmage | Grants Skill: Level 12 Trinity | Grants Skill: Level 12 Eternal Rage | -1 Prefix Modifier allowed -1 Suffix Modifier allowed
Corona Amulet,Corona_Amulet,Amulets,,,,,,,Level 40,40,,This item gains bonuses from Socketed Items as though it was a Helmet
Dusk Amulet,Dusk_Amulet,Amulets,,,,,,,,,,+1 Prefix Modifier allowed -1 Suffix Modifier allowed
Gloam Amulet,Gloam_Amulet,Amulets,,,,,,,,,,-1 Prefix Modifier allowed +1 Suffix Modifier allowed
Penumbra Amulet,Penumbra_Amulet,Amulets,,,,,,,,,,+2 Prefix Modifiers allowed -2 Suffix Modifiers allowed
Tenebrous Amulet,Tenebrous_Amulet,Amulets,,,,,,,,,,-2 Prefix Modifiers allowed +2 Suffix Modifiers allowed
Twisted Amulet,Twisted_Amulet,Amulets,,,,,,,,,,-1 Prefix Modifier allowed
Distorted Amulet,Distorted_Amulet,Amulets,,,,,,,,,,-1 Suffix Modifier allowed
Golden Hoop,Golden_Hoop,Rings,,,,,,,Level 12,12,,+(8 - 12) to all Attributes
Iron Ring,Iron_Ring,Rings,,,,,,,,,,Adds 1 to 4 Physical Damage to Attacks
Lazuli Ring,Lazuli_Ring,Rings,,,,,,,,,,+(20 - 30) to maximum Mana
Ruby Ring,Ruby_Ring,Rings,,,,,,,Level 8,8,,+(20 - 30) % to Fire Resistance
Sapphire Ring,Sapphire_Ring,Rings,,,,,,,Level 12,12,,+(20 - 30) % to Cold Resistance
Topaz Ring,Topaz_Ring,Rings,,,,,,,Level 16,16,,+(20 - 30) % to Lightning Resistance
Amethyst Ring,Amethyst_Ring,Rings,,,,,,,Level 20,20,,+(7 - 13) % to Chaos Resistance
Emerald Ring,Emerald_Ring,Rings,,,,,,,Level 26,26,,+(120 - 160) to Accuracy Rating
Pearl Ring,Pearl_Ring,Rings,,,,,,,Level 32,32,,(7 - 10) % increased Cast Speed
Prismatic Ring,Prismatic_Ring,Rings,,,,,,,Level 35,35,,+(7 - 10) % to all Elemental Resistances
Gold Ring,Gold_Ring,Rings,,,,,,,Level 40,40,,(6 - 15) % increased Rarity of Items found
Unset Ring,Unset_Ring,Rings,,,,,,,Level 44,44,,Grants 1 additional Skill Slot
Abyssal Signet,Abyssal_Signet,Rings,,,,,,,Level 40,40,,Inflict Abyssal Wasting on Hit
Two-Stone Ring,Two-Stone_Ring,Rings,,,,,,,Level 35,35,,+(12 - 16) % to Fire and Cold Resistances
Two-Stone Ring,Two-Stone_Ring,Rings,,,,,,,Level 35,35,,+(12 - 16) % to Fire and Lightning Resistances
Two-Stone Ring,Two-Stone_Ring,Rings,,,,,,,Level 35,35,,+(12 - 16) % to Cold and Lightning Resistances
Biostatic Ring,Biostatic_Ring,Rings,,,,,,,Level 52,52,,+1 % to all maximum Resistances
Vitalic Ring,Vitalic_Ring,Rings,,,,,,,Level 40,40,,(4 - 6) % increased maximum Life
Mnemonic Ring,Mnemonic_Ring,Rings,,,,,,,Level 40,40,,(4 - 6) % increased maximum Mana
Kinetic Ring,Kinetic_Ring,Rings,,,,,,,Level 40,40,,Adds (6 - 9) to (11 - 15) Physical Damage to Attacks
Oneiric Ring,Oneiric_Ring,Rings,,,,,,,Level 47,47,,(11 - 23) % increased Chaos Damage
Grasping Ring,Grasping_Ring,Rings,,,,,,,Level 40,40,,This item gains bonuses from Socketed Items as though it was Gloves
Ring,Ring,Rings,,,,,,,,,,
Dusk Ring,Dusk_Ring,Rings,,,,,,,,,,+1 Prefix Modifier allowed -1 Suffix Modifier allowed
Gloam Ring,Gloam_Ring,Rings,,,,,,,,,,-1 Prefix Modifier allowed +1 Suffix Modifier allowed
Penumbra Ring,Penumbra_Ring,Rings,,,,,,,,,,+2 Prefix Modifiers allowed -2 Suffix Modifiers allowed
Tenebrous Ring,Tenebrous_Ring,Rings,,,,,,,,,,-2 Prefix Modifiers allowed +2 Suffix Modifiers allowed
Breach Ring,Breach_Ring,Rings,,,,,,,Level 40,40,,+20 % to Maximum Quality
Refined Breach Ring,Refined_Breach_Ring,Rings,,,,,,,Level 40,40,,+25 % to Maximum Quality
Golden Obi,Golden_Obi,Belts,,,,,,,Level 12,12,,Has (1 - 3) Charm Slot | (20 - 30) % increased Rarity of Items found
Rawhide Belt,Rawhide_Belt,Belts,,,,,,,,,,Has (1 - 3) Charm Slot | (20 - 30) % increased Life Recovery from Flasks
Linen Belt,Linen_Belt,Belts,,,,,,,,,,Has (1 - 3) Charm Slot | (20 - 30) % increased Mana Recovery from Flasks
Wide Belt,Wide_Belt,Belts,,,,,,,Level 14,14,,Has (1 - 3) Charm Slot | (20 - 30) % increased Flask Charges gained
Long Belt,Long_Belt,Belts,,,,,,,Level 20,20,,Has (1 - 3) Charm Slot | (15 - 20) % increased Charm Effect Duration
Plate Belt,Plate_Belt,Belts,,,,,,,Level 25,25,,Has (1 - 3) Charm Slot | +(140 - 180) to Armour
Ornate Belt,Ornate_Belt,Belts,,,,,,,Level 31,31,,Has (1 - 3) Charm Slot | (10 - 15) % reduced Charm Charges used
Mail Belt,Mail_Belt,Belts,,,,,,,Level 40,40,,Has (1 - 3) Charm Slot | (10 - 15) % reduced Flask Charges used
Double Belt,Double_Belt,Belts,,,,,,,Level 44,44,,Has (1 - 3) Charm Slot | (20 - 30) % increased Charm Charges gained
Heavy Belt,Heavy_Belt,Belts,,,,,,,Level 50,50,,Has (1 - 3) Charm Slot | (20 - 30) % increased Stun Threshold
Runemastered Heavy Belt,Runemastered_Heavy_Belt,Belts,,,,,,,Level 65,65,,Has (1 - 3) Charm Slot | (20 - 30) % increased Stun Threshold | (15 - 25) % Life Recovery from Flasks also applies to Runic Ward
Runemastered Heavy Belt,Runemastered_Heavy_Belt,Belts,,,,,,,Level 65,65,,Has (1 - 3) Charm Slot | (20 - 30) % increased Stun Threshold | (20 - 40) % increased Runic Ward Regeneration Rate
Runemastered Heavy Belt,Runemastered_Heavy_Belt,Belts,,,,,,,Level 65,65,,Has (1 - 3) Charm Slot | (20 - 30) % increased Stun Threshold | Runic Ward recovery can can Overflow maximum Runic Ward
Runemastered Heavy Belt,Runemastered_Heavy_Belt,Belts,,,,,,,Level 65,65,,Has (1 - 3) Charm Slot | (20 - 30) % increased Stun Threshold | Flasks gain (0.5 - 1) charges per Second
Utility Belt,Utility_Belt,Belts,,,,,,,Level 55,55,,Has (1 - 3) Charm Slot | 20 % of Flask Recovery applied Instantly
Fine Belt,Fine_Belt,Belts,,,,,,,Level 62,62,,Has (1 - 3) Charm Slot | Flasks gain 0.17 charges per Second
Stalking Belt,Stalking_Belt,Belts,,,,,,,Level 50,50,,Has (1 - 3) Charm Slot | Has 1 Charm Slot | This item gains bonuses from Socketed Items as though it was Boots
Invoking Belt,Invoking_Belt,Belts,,,,,,,Level 32,32,,Has (1 - 3) Charm Slot | Has 1 Charm Slot | (8 - 12) % increased Cast Speed
Sinew Belt,Sinew_Belt,Belts,,,,,,,Level 32,32,,Has (1 - 3) Charm Slot | Has 1 Charm Slot | +(15 - 20) to Strength
Forking Belt,Forking_Belt,Belts,,,,,,,Level 32,32,,Has (1 - 3) Charm Slot | Has 1 Charm Slot | Adds 1 to (20 - 30) Lightning damage to Attacks
Stocky Mitts,Stocky_Mitts,Gloves_str,,,,,,,,,,
Riveted Mitts,Riveted_Mitts,Gloves_str,,,,,,,"Level 11 , 16 Str",11,,
Tempered Mitts,Tempered_Mitts,Gloves_str,,,,,,,"Level 16 , 22 Str",16,,
Bolstered Mitts,Bolstered_Mitts,Gloves_str,,,,,,,"Level 27 , 35 Str",27,,
Moulded Mitts,Moulded_Mitts,Gloves_str,,,,,,,"Level 33 , 42 Str",33,,
Detailed Mitts,Detailed_Mitts,Gloves_str,,,,,,,"Level 45 , 56 Str",45,,
Titan Mitts,Titan_Mitts,Gloves_str,,,,,,,"Level 52 , 64 Str",52,,
Grand Mitts,Grand_Mitts,Gloves_str,,,,,,,"Level 65 , 80 Str",65,,
Plated Mitts,Plated_Mitts,Gloves_str,,,,,,,"Level 45 , 56 Str",45,,
Elegant Mitts,Elegant_Mitts,Gloves_str,,,,,,,"Level 51 , 64 Str",51,,
Ancient Mitts,Ancient_Mitts,Gloves_str,,,,,,,"Level 54 , 67 Str",54,,
Feathered Mitts,Feathered_Mitts,Gloves_str,,,,,,,"Level 59 , 73 Str",59,,
Knightly Mitts,Knightly_Mitts,Gloves_str,,,,,,,"Level 65 , 80 Str",65,,
Ornate Mitts,Ornate_Mitts,Gloves_str,,,,,,,"Level 70 , 87 Str",70,,
Vaal Mitts,Vaal_Mitts,Gloves_str,,,,,,,"Level 75 , 94 Str",75,,
Massive Mitts,Massive_Mitts,Gloves_str,,,,,,,"Level 80 , 101 Str",80,,
Runeforged Stocky Mitts,Runeforged_Stocky_Mitts,Gloves_str,,,,,,,,,,
Runeforged Riveted Mitts,Runeforged_Riveted_Mitts,Gloves_str,,,,,,,"Level 11 , 16 Str",11,,
Runeforged Tempered Mitts,Runeforged_Tempered_Mitts,Gloves_str,,,,,,,"Level 16 , 22 Str",16,,
Runeforged Bolstered Mitts,Runeforged_Bolstered_Mitts,Gloves_str,,,,,,,"Level 27 , 35 Str",27,,
Runeforged Moulded Mitts,Runeforged_Moulded_Mitts,Gloves_str,,,,,,,"Level 33 , 42 Str",33,,
Runeforged Detailed Mitts,Runeforged_Detailed_Mitts,Gloves_str,,,,,,,"Level 45 , 56 Str",45,,
Runeforged Ancient Mitts,Runeforged_Ancient_Mitts,Gloves_str,,,,,,,"Level 54 , 67 Str",54,,
Runeforged Feathered Mitts,Runeforged_Feathered_Mitts,Gloves_str,,,,,,,"Level 59 , 73 Str",59,,
Runeforged Knightly Mitts,Runeforged_Knightly_Mitts,Gloves_str,,,,,,,"Level 65 , 80 Str",65,,
Runeforged Ornate Mitts,Runeforged_Ornate_Mitts,Gloves_str,,,,,,,"Level 70 , 87 Str",70,,
Runeforged Vaal Mitts,Runeforged_Vaal_Mitts,Gloves_str,,,,,,,"Level 75 , 94 Str",75,,
Runeforged Massive Mitts,Runeforged_Massive_Mitts,Gloves_str,,,,,,,"Level 80 , 101 Str",80,,
Runemastered Stocky Mitts,Runemastered_Stocky_Mitts,Gloves_str,,,,,,,"Level 38 , 48 Str",38,,
Runemastered Riveted Mitts,Runemastered_Riveted_Mitts,Gloves_str,,,,,,,"Level 38 , 48 Str",38,,
Runemastered Tempered Mitts,Runemastered_Tempered_Mitts,Gloves_str,,,,,,,"Level 38 , 48 Str",38,,
Runemastered Bolstered Mitts,Runemastered_Bolstered_Mitts,Gloves_str,,,,,,,"Level 38 , 48 Str",38,,
Runemastered Moulded Mitts,Runemastered_Moulded_Mitts,Gloves_str,,,,,,,"Level 55 , 68 Str",55,,
Runemastered Titan Mitts,Runemastered_Titan_Mitts,Gloves_str,,,,,,,"Level 65 , 80 Str",65,,
Suede Bracers,Suede_Bracers,Gloves_dex,,,,,,,,,,
Firm Bracers,Firm_Bracers,Gloves_dex,,,,,,,"Level 11 , 16 Dex",11,16,
Bound Bracers,Bound_Bracers,Gloves_dex,,,,,,,"Level 16 , 22 Dex",16,22,
Sectioned Bracers,Sectioned_Bracers,Gloves_dex,,,,,,,"Level 28 , 36 Dex",28,36,
Spined Bracers,Spined_Bracers,Gloves_dex,,,,,,,"Level 33 , 42 Dex",33,42,
Fine Bracers,Fine_Bracers,Gloves_dex,,,,,,,"Level 45 , 56 Dex",45,56,
Hardened Bracers,Hardened_Bracers,Gloves_dex,,,,,,,"Level 52 , 64 Dex",52,64,
Engraved Bracers,Engraved_Bracers,Gloves_dex,,,,,,,"Level 65 , 80 Dex",65,80,
Hunting Bracers,Hunting_Bracers,Gloves_dex,,,,,,,"Level 45 , 56 Dex",45,56,
Swift Bracers,Swift_Bracers,Gloves_dex,,,,,,,"Level 51 , 64 Dex",51,64,
Refined Bracers,Refined_Bracers,Gloves_dex,,,,,,,"Level 54 , 67 Dex",54,67,
Spiked Bracers,Spiked_Bracers,Gloves_dex,,,,,,,"Level 59 , 73 Dex",59,73,
Stalking Bracers,Stalking_Bracers,Gloves_dex,,,,,,,"Level 65 , 80 Dex",65,80,
Grand Bracers,Grand_Bracers,Gloves_dex,,,,,,,"Level 70 , 87 Dex",70,87,
Barbed Bracers,Barbed_Bracers,Gloves_dex,,,,,,,"Level 75 , 94 Dex",75,94,
Polished Bracers,Polished_Bracers,Gloves_dex,,,,,,,"Level 80 , 101 Dex",80,101,
Runeforged Suede Bracers,Runeforged_Suede_Bracers,Gloves_dex,,,,,,,,,,
Runeforged Firm Bracers,Runeforged_Firm_Bracers,Gloves_dex,,,,,,,"Level 11 , 16 Dex",11,16,
Runeforged Bound Bracers,Runeforged_Bound_Bracers,Gloves_dex,,,,,,,"Level 16 , 22 Dex",16,22,
Runeforged Sectioned Bracers,Runeforged_Sectioned_Bracers,Gloves_dex,,,,,,,"Level 28 , 36 Dex",28,36,
Runeforged Spined Bracers,Runeforged_Spined_Bracers,Gloves_dex,,,,,,,"Level 33 , 42 Dex",33,42,
Runeforged Fine Bracers,Runeforged_Fine_Bracers,Gloves_dex,,,,,,,"Level 45 , 56 Dex",45,56,
Runeforged Engraved Bracers,Runeforged_Engraved_Bracers,Gloves_dex,,,,,,,"Level 65 , 80 Dex",65,80,
Runeforged Refined Bracers,Runeforged_Refined_Bracers,Gloves_dex,,,,,,,"Level 54 , 67 Dex",54,67,
Runeforged Spiked Bracers,Runeforged_Spiked_Bracers,Gloves_dex,,,,,,,"Level 59 , 73 Dex",59,73,
Runeforged Stalking Bracers,Runeforged_Stalking_Bracers,Gloves_dex,,,,,,,"Level 65 , 80 Dex",65,80,
Runeforged Grand Bracers,Runeforged_Grand_Bracers,Gloves_dex,,,,,,,"Level 70 , 87 Dex",70,87,
Runeforged Barbed Bracers,Runeforged_Barbed_Bracers,Gloves_dex,,,,,,,"Level 75 , 94 Dex",75,94,
Runeforged Polished Bracers,Runeforged_Polished_Bracers,Gloves_dex,,,,,,,"Level 80 , 101 Dex",80,101,
Runemastered Suede Bracers,Runemastered_Suede_Bracers,Gloves_dex,,,,,,,"Level 38 , 48 Dex",38,48,
Runemastered Firm Bracers,Runemastered_Firm_Bracers,Gloves_dex,,,,,,,"Level 38 , 48 Dex",38,48,
Runemastered Sectioned Bracers,Runemastered_Sectioned_Bracers,Gloves_dex,,,,,,,"Level 38 , 48 Dex",38,48,
Runemastered Spined Bracers,Runemastered_Spined_Bracers,Gloves_dex,,,,,,,"Level 38 , 48 Dex",38,48,
Runemastered Fine Bracers,Runemastered_Fine_Bracers,Gloves_dex,,,,,,,"Level 45 , 56 Dex",45,56,
Torn Gloves,Torn_Gloves,Gloves_int,,,,,,,,,,
Sombre Gloves,Sombre_Gloves,Gloves_int,,,,,,,"Level 12 , 17 Int",12,,
Stitched Gloves,Stitched_Gloves,Gloves_int,,,,,,,"Level 16 , 22 Int",16,,
Jewelled Gloves,Jewelled_Gloves,Gloves_int,,,,,,,"Level 26 , 34 Int",26,,
Intricate Gloves,Intricate_Gloves,Gloves_int,,,,,,,"Level 33 , 42 Int",33,,
Pauascale Gloves,Pauascale_Gloves,Gloves_int,,,,,,,"Level 45 , 56 Int",45,,
Embroidered Gloves,Embroidered_Gloves,Gloves_int,,,,,,,"Level 52 , 64 Int",52,,
Adorned Gloves,Adorned_Gloves,Gloves_int,,,,,,,"Level 65 , 80 Int",65,,
Ominous Gloves,Ominous_Gloves,Gloves_int,,,,,,,"Level 45 , 56 Int",45,,
Embellished Gloves,Embellished_Gloves,Gloves_int,,,,,,,"Level 51 , 64 Int",51,,
Baroque Gloves,Baroque_Gloves,Gloves_int,,,,,,,"Level 54 , 67 Int",54,,
Gold Gloves,Gold_Gloves,Gloves_int,,,,,,,"Level 59 , 73 Int",59,,
Grim Gloves,Grim_Gloves,Gloves_int,,,,,,,"Level 65 , 80 Int",65,,
Opulent Gloves,Opulent_Gloves,Gloves_int,,,,,,,"Level 70 , 87 Int",70,,
Vaal Gloves,Vaal_Gloves,Gloves_int,,,,,,,"Level 75 , 94 Int",75,,
Sirenscale Gloves,Sirenscale_Gloves,Gloves_int,,,,,,,"Level 80 , 101 Int",80,,
Runeforged Torn Gloves,Runeforged_Torn_Gloves,Gloves_int,,,,,,,,,,
Runeforged Sombre Gloves,Runeforged_Sombre_Gloves,Gloves_int,,,,,,,"Level 12 , 17 Int",12,,
Runeforged Stitched Gloves,Runeforged_Stitched_Gloves,Gloves_int,,,,,,,"Level 16 , 22 Int",16,,
Runeforged Jewelled Gloves,Runeforged_Jewelled_Gloves,Gloves_int,,,,,,,"Level 26 , 34 Int",26,,
Runeforged Intricate Gloves,Runeforged_Intricate_Gloves,Gloves_int,,,,,,,"Level 33 , 42 Int",33,,
Runeforged Pauascale Gloves,Runeforged_Pauascale_Gloves,Gloves_int,,,,,,,"Level 45 , 56 Int",45,,
Runeforged Baroque Gloves,Runeforged_Baroque_Gloves,Gloves_int,,,,,,,"Level 54 , 67 Int",54,,
Runeforged Gold Gloves,Runeforged_Gold_Gloves,Gloves_int,,,,,,,"Level 59 , 73 Int",59,,
Runeforged Grim Gloves,Runeforged_Grim_Gloves,Gloves_int,,,,,,,"Level 65 , 80 Int",65,,
Runeforged Opulent Gloves,Runeforged_Opulent_Gloves,Gloves_int,,,,,,,"Level 70 , 87 Int",70,,
Runeforged Vaal Gloves,Runeforged_Vaal_Gloves,Gloves_int,,,,,,,"Level 75 , 94 Int",75,,
Runeforged Sirenscale Gloves,Runeforged_Sirenscale_Gloves,Gloves_int,,,,,,,"Level 80 , 101 Int",80,,
Runemastered Torn Gloves,Runemastered_Torn_Gloves,Gloves_int,,,,,,,"Level 38 , 48 Int",38,,
