edge_index,from_node,to_node,from_name,to_name
1397,40377,46628,Armour Applies to Elemental Damage and Energy Shield Delay,Attribute
1398,7554,23039,Energy Shield Delay and Armour Applies to Elemental Damage,Energy Shield Delay and Armour Applies to Elemental Damage
1399,23039,64770,Energy Shield Delay and Armour Applies to Elemental Damage,"Morgana, the Storm Seer"
1400,46318,32964,Armour Applies to Elemental Damage and Energy Shield Delay,Armour Applies to Elemental Damage and Energy Shield Delay
1401,32964,34617,Armour Applies to Elemental Damage and Energy Shield Delay,Conall the Hunted
1402,8600,27439,Attribute,Attribute
1403,8600,40596,Attribute,Stun Threshold
1404,8600,44406,Attribute,Stun Buildup
1405,8600,43778,Attribute,Bleed Chance
1406,8600,31650,Attribute,Totem Damage
1407,61471,49153,Damage and Minion Damage,Comradery
1408,61977,61471,Damage and Minion Damage,Damage and Minion Damage
1409,15580,61977,Damage and Minion Damage,Damage and Minion Damage
1410,7668,62015,Internal Bleeding,Warcry Mastery
1411,21982,47371,Empowered Attack Damage and Bleeding Chance,Empowered Attack Damage and Bleeding Chance
1412,47371,7668,Empowered Attack Damage and Bleeding Chance,Internal Bleeding
1413,64870,27439,Armour and Applies to Fire Damage,Attribute
1414,34090,14655,Armour and Applies to Fire Damage,Armour and Applies to Fire Damage
1415,34090,64870,Armour and Applies to Fire Damage,Armour and Applies to Fire Damage
1416,14655,372,Armour and Applies to Fire Damage,Heatproof
1417,372,54340,Heatproof,Armour Mastery
1418,54892,44371,Armour and Evasion,Polish That Gear
1419,60287,37397,Implanted Gems,Neurological Implants
1420,60287,32952,Implanted Gems,Bolstering Implants
1421,60287,63259,Implanted Gems,Motoric Implants
1422,46205,2174,Totem Damage,Totem Damage
1423,46205,33209,Totem Damage,Totem Cast and Attack Speed
1424,46205,51683,Totem Damage,Totem Damage
1425,41615,10534,Totem Placement Speed,Totem Cast and Attack Speed
1426,41615,22616,Totem Placement Speed,Attribute
1427,49192,43396,Totem Placement Speed,Ancestral Reach
1428,49192,41615,Totem Placement Speed,Totem Placement Speed
1429,44787,14654,Totem Placement Speed,Attribute
1430,44787,49192,Totem Placement Speed,Totem Placement Speed
1431,44787,51683,Totem Placement Speed,Totem Damage
1432,43396,40550,Ancestral Reach,Totem Mastery
1433,10534,46205,Totem Cast and Attack Speed,Totem Damage
1434,2174,19249,Totem Damage,Supportive Ancestors
1435,19249,33209,Supportive Ancestors,Totem Cast and Attack Speed
1436,19249,40550,Supportive Ancestors,Totem Mastery
1437,52373,37276,Maximum Rage,Battle Trance
1438,52373,56342,Maximum Rage,Rage when Hit
1439,16347,52373,Maximum Rage,Maximum Rage
1440,52556,16347,Maximum Rage,Maximum Rage
1441,52556,28304,Maximum Rage,Attribute
1442,37276,33244,Battle Trance,Rage Mastery
1443,30151,32637,Armour and Evasion,"Stay Light, Use Cover"
1444,44371,30151,Polish That Gear,Armour and Evasion
1445,20303,9908,Life Regeneration,Price of Freedom
1446,16311,32600,Life Regeneration,Life Regeneration
1447,16311,14654,Life Regeneration,Attribute
1448,32600,6304,Life Regeneration,Stand Ground
1449,32600,20303,Life Regeneration,Life Regeneration
1450,6304,12125,Stand Ground,Life Mastery
1451,20350,4948,Armour Break,Armour Break
1452,20350,47006,Armour Break,Armour Break Effect
1453,20350,28304,Armour Break,Attribute
1454,47006,43174,Armour Break Effect,Armour Break Effect
1455,43174,28542,Armour Break Effect,The Molten One's Gift
1456,62785,4948,Armour Break,Armour Break
1457,28542,62785,The Molten One's Gift,Armour Break
1458,55582,60287,Skill Gem Quality,Implanted Gems
1459,25482,61472,Beef,Strength
1460,25482,51702,Beef,Strength
1461,25482,60620,Beef,Strength
1462,54485,25482,Strength,Beef
1463,60620,45992,Strength,Armour
1464,61472,9417,Strength,Totem Life
1465,61472,36389,Strength,Rage on Hit
1466,64995,17924,Damage against Enemies on Low Life,Damage against Enemies on Low Life
1467,17924,51867,Damage against Enemies on Low Life,Finality
1468,27990,49049,Slow Effect,Apex of the Moment
1469,761,22133,Command Skill Cooldown,Command Skill Cooldown
1470,22133,39857,Command Skill Cooldown,Mentorship
1471,39857,4663,Mentorship,Minion Mastery
1472,2491,28175,[Jewel] Socket,Attribute
1473,762,1988,Minion Damage,Unleash Hell!
1474,14777,59466,Bravado,Empowered Attack Damage
1475,14777,20015,Bravado,Warcry Mastery
1476,37226,4015,Warcry Speed,Warcry Cooldown
1477,37226,9187,Warcry Speed,Escalation
1478,4015,47429,Warcry Cooldown,Warcry Cooldown
1479,4015,59466,Warcry Cooldown,Empowered Attack Damage
1480,9187,20015,Escalation,Warcry Mastery
1481,44783,22949,Area Damage,Spell Area of Effect
1482,19277,44783,Area Damage,Area Damage
1483,35171,18846,Spell Area of Effect,Spell Area of Effect
1484,10029,19277,Repulsion,Area Damage
1485,8660,18846,Reverberation,Spell Area of Effect
1486,22949,35171,Spell Area of Effect,Spell Area of Effect
1487,14113,10029,Caster Mastery,Repulsion
1488,14113,8660,Caster Mastery,Reverberation
1489,16084,57552,One Handed Damage,One Handed Damage
1490,13474,16084,One Handed Damage,One Handed Damage
1491,10602,8629,Reaving,Attack Mastery
1492,24871,10602,Attack Speed,Reaving
1493,57552,24871,One Handed Damage,Attack Speed
1494,57552,46696,One Handed Damage,Impair
1495,46696,8629,Impair,Attack Mastery
1496,54811,13474,Attribute,One Handed Damage
1497,34210,54811,Two Handed Damage,Attribute
1498,34210,64939,Two Handed Damage,Two Handed Damage
1499,6923,1087,Two Handed Damage,Shockwaves
1500,1087,25934,Shockwaves,Two Hand Mastery
1501,64939,30123,Two Handed Damage,Two Handed Damage
1502,30123,6923,Two Handed Damage,Two Handed Damage
1503,30123,26092,Two Handed Damage,Two Handed Damage
1504,26092,52392,Two Handed Damage,Singular Purpose
1505,52392,25934,Singular Purpose,Two Hand Mastery
1506,20499,34327,Arcane Surge Effect,Arcane Surge Spell Damage
1507,20499,2336,Arcane Surge Effect,Arcane Surge Effect
1508,34327,32078,Arcane Surge Spell Damage,Arcane Surge Spell Damage
1509,32078,16940,Arcane Surge Spell Damage,Arcane Nature
1510,16940,25446,Arcane Nature,Mana Mastery
1511,2336,63402,Arcane Surge Effect,Arcane Surge Effect
1512,63402,29881,Arcane Surge Effect,Surging Beast
1513,29881,25446,Surging Beast,Mana Mastery
1514,1579,3605,Cooldown Recovery Rate,Unbound Encore
1515,32856,58747,Cooldown Recovery Rate,Ultimate Command
1516,32856,3605,Cooldown Recovery Rate,Unbound Encore
1517,12054,37523,Totem Damage,"Cannons, Ready!"
1518,45248,14429,Skill Gem Quality,Advanced Thaumaturgy
1519,63451,44406,Cranial Impact,Stun Buildup
1520,63451,64312,Cranial Impact,Two Handed Damage
1521,57846,63451,Stun Buildup,Cranial Impact
1522,57846,38876,Stun Buildup,Attribute
1523,63470,9908,Life Costs,Price of Freedom
1524,50302,63470,Life Costs,Life Costs
1525,16090,50302,Life Costs,Life Costs
1526,61490,47429,Attribute,Warcry Cooldown
1527,61490,64995,Attribute,Damage against Enemies on Low Life
1528,61490,8600,Attribute,Attribute
1529,28304,37258,Attribute,Attribute
1530,28304,2491,Attribute,[Jewel] Socket
1531,8693,35393,Armour while Bleeding,Armour while Bleeding
1532,35393,23708,Armour while Bleeding,Armour while Bleeding
1533,23708,3896,Armour while Bleeding,Vale Dweller
1534,3896,56320,Vale Dweller,Armour Mastery
1535,11641,45248,Essence of Virtue,Skill Gem Quality
1536,11641,55582,Essence of Virtue,Skill Gem Quality
1537,56703,15782,Cast Speed,Attribute
1538,56703,28839,Cast Speed,Cast Speed
1539,56762,28839,Cast Speed,Cast Speed
1540,20032,28680,Erraticism,Caster Mastery
1541,20032,56762,Erraticism,Cast Speed
1542,28002,32194,Attribute,Attribute
1543,28002,20499,Attribute,Arcane Surge Effect
1544,28002,42452,Attribute,Shapeshifting Attack Damage
1545,28002,2955,Attribute,Projectile Damage
1546,28002,2653,Attribute,Channelling Damage and Speed
1547,28002,49547,Attribute,Scarred Faith
1548,28002,18441,Attribute,Maximum Rage
1549,2955,28800,Projectile Damage,Projectile Damage
1550,28800,55308,Projectile Damage,Sling Shots
1551,55308,38313,Sling Shots,Projectile Speed
1552,55308,30701,Sling Shots,Reduced Projectile Speed
1553,51183,45301,Armour and Energy Shield,Slow Effect on You
1554,51183,10635,Armour and Energy Shield,Armour and Energy Shield
1555,10635,31724,Armour and Energy Shield,Iron Slippers
1556,45301,31724,Slow Effect on You,Iron Slippers
1557,31724,2074,Iron Slippers,Armour and Energy Shield Mastery
1558,55422,54640,Physical Damage,Constricting
1559,34415,55422,Physical Damage,Physical Damage
1560,48387,34415,Physical Damage,Physical Damage
1561,54640,64042,Constricting,Physical Mastery
1562,27900,54640,Physical Damage and Increased Duration,Constricting
1563,62376,54640,Physical Damage and Reduced Duration,Constricting
1564,18441,34181,Maximum Rage,Maximum Rage
1565,34181,45422,Maximum Rage,Anger Management
1566,51369,56061,Damage against Burning Enemies,Damage against Burning Enemies
1567,51369,45503,Damage against Burning Enemies,Flammability Magnitude
1568,6544,56061,Burning Strikes,Damage against Burning Enemies
1569,6544,42604,Burning Strikes,Fire Mastery
1570,45503,37746,Flammability Magnitude,Flammability Magnitude
1571,37746,6544,Flammability Magnitude,Burning Strikes
1572,34412,25915,Shapeshifted Damage,Shapeshifted Damage
1573,25915,8916,Shapeshifted Damage,Bashing Beast
1574,20547,33340,Stun Buildup,Stun Buildup
1575,20547,34412,Stun Buildup,Shapeshifted Damage
1576,33340,51267,Stun Buildup,Stun Buildup
1577,51267,11886,Stun Buildup,Mauling Stuns
1578,10305,45586,Attack Damage with Ally,Ally Attack Damage
1579,10305,61490,Attack Damage with Ally,Attribute
1580,45586,14761,Ally Attack Damage,Warlord Leader
1581,35011,10305,Attack Damage with Ally,Attack Damage with Ally
1582,14761,45215,Warlord Leader,Attack Damage with Ally
1583,14761,57775,Warlord Leader,Aura Mastery
1584,53187,35011,Warlord Berserker,Attack Damage with Ally
1585,53187,57775,Warlord Berserker,Aura Mastery
1586,45215,53187,Attack Damage with Ally,Warlord Berserker
1587,34882,11641,Skill Gem Quality,Essence of Virtue
1588,46628,40894,Attribute,Minion Life
1589,46628,44872,Attribute,Attribute
1590,46628,50184,Attribute,Poison Damage
1591,46628,25337,Attribute,Poison Chance
1592,46628,20848,Attribute,Plant Skill Damage
1593,37523,24696,"Cannons, Ready!",Totem Damage
1594,36880,43036,Arcane Surge Effect,Mana Regeneration
1595,15628,36880,Arcane Surge Effect,Arcane Surge Effect
1596,27626,15628,Touch the Arcane,Arcane Surge Effect
1597,54067,27626,Arcane Surge on Critical Hit,Touch the Arcane
1598,54067,2244,Arcane Surge on Critical Hit,Arcane Surge on Critical Hit
1599,43036,2244,Mana Regeneration,Arcane Surge on Critical Hit
1600,48552,43036,Attribute,Mana Regeneration
1601,48552,7960,Attribute,[Jewel] Socket
1602,48552,23825,Attribute,Life Regeneration Rate
1603,10452,44213,Armour and Energy Shield,Armour and Energy Shield Delay
1604,10452,1878,Armour and Energy Shield,Energy Shield and Armour applies to Elemental Damage Hits
1605,1878,14328,Energy Shield and Armour applies to Elemental Damage Hits,Energy Shield and Armour applies to Elemental Damage Hits
1606,44213,869,Armour and Energy Shield Delay,Armour and Energy Shield Delay
1607,14328,18959,Energy Shield and Armour applies to Elemental Damage Hits,Ruinic Helm
1608,869,18959,Armour and Energy Shield Delay,Ruinic Helm
1609,18959,55843,Ruinic Helm,Armour and Energy Shield Mastery
1610,34990,6088,Poison Chance,First Sting
1611,25337,34990,Poison Chance,Poison Chance
1612,50184,46069,Poison Damage,Poison Damage
1613,46069,6088,Poison Damage,First Sting
1614,6088,54380,First Sting,Poison Mastery
1615,47316,2888,Goring,Life Leech
1616,47316,28862,Goring,Leech Mastery
1617,2888,8827,Life Leech,Fast Metabolism
1618,21716,9583,Life Leech,Life Leech and Physical Damage
1619,8827,16691,Fast Metabolism,Life Leech Speed
1620,8827,28862,Fast Metabolism,Leech Mastery
1621,16691,21716,Life Leech Speed,Life Leech
1622,9583,47316,Life Leech and Physical Damage,Goring
1623,37258,31903,Attribute,Attribute
1624,59367,10774,Slow Effect on You,Unyielding
1625,10774,35863,Unyielding,Attack Speed
1626,26568,59367,Slow Effect on You and Attack Speed,Slow Effect on You
1627,26568,37258,Slow Effect on You and Attack Speed,Attribute
1628,51732,26568,Attack Speed,Slow Effect on You and Attack Speed
1629,35863,51732,Attack Speed,Attack Speed
1630,23825,24325,Life Regeneration Rate,Life Regeneration Rate and Presence
1631,23825,11572,Life Regeneration Rate,Arcane Surge Effect and Life Regeneration
1632,11572,32923,Arcane Surge Effect and Life Regeneration,Arcane Surge Effect and Life Regeneration
1633,24325,40006,Life Regeneration Rate and Presence,Life Regeneration Rate and Presence
1634,32923,58215,Arcane Surge Effect and Life Regeneration,Sanguimantic Rituals
1635,58215,292,Sanguimantic Rituals,Life Mastery
1636,40006,9896,Life Regeneration Rate and Presence,Heartstopping Presence
1637,40006,292,Life Regeneration Rate and Presence,Life Mastery
1638,9896,292,Heartstopping Presence,Life Mastery
1639,23062,19122,Armour if Consumed Endurance Charge,Armour if Consumed Endurance Charge
1640,19122,28432,Armour if Consumed Endurance Charge,Armour if Consumed Endurance Charge
1641,28432,20416,Armour if Consumed Endurance Charge,Grit
1642,28432,23062,Armour if Consumed Endurance Charge,Armour if Consumed Endurance Charge
1643,24696,4086,Totem Damage,Strategic Embankments
1644,38965,65226,Infused Limits,Infusion Mastery
1645,11284,31697,Infusion Duration,Infusion Duration
1646,11284,30985,Infusion Duration,Infusion Chance
1647,11284,50104,Infusion Duration,Attribute
1648,24764,65226,Infusing Power,Infusion Mastery
1649,12324,24764,Infusion Chance,Infusing Power
1650,30985,12324,Infusion Chance,Infusion Chance
1651,31697,51303,Infusion Duration,Infusion Duration
1652,51303,38965,Infusion Duration,Infused Limits
1653,54886,56997,Two Handed Damage and Stun,Heavy Contact
1654,56997,23861,Heavy Contact,Two Handed Damage and Stun
1655,56997,56595,Heavy Contact,Attack Mastery
1656,64312,23861,Two Handed Damage,Two Handed Damage and Stun
1657,64312,54886,Two Handed Damage,Two Handed Damage and Stun
1658,15782,1433,Attribute,Attribute
1659,15782,46628,Attribute,Attribute
1660,15782,53675,Attribute,Presence Area
1661,54814,16114,Profane Commander,Aura Mastery
1662,59498,54814,Presence Area,Profane Commander
1663,53675,59498,Presence Area,Presence Area
1664,31419,35787,Increased Duration,Increased Duration
1665,31419,53405,Increased Duration,Attribute
1666,35787,42813,Increased Duration,Tides of Change
1667,42813,55491,Tides of Change,Reservation Mastery
1668,31238,48552,Attribute,Attribute
1669,31238,45918,Attribute,Mind Over Matter
1670,31238,10452,Attribute,Armour and Energy Shield
1671,2653,19203,Channelling Damage and Speed,Channelling Damage
1672,2653,30896,Channelling Damage and Speed,Channelling Speed
1673,19203,10260,Channelling Damage,Channelling Damage
1674,10260,33730,Channelling Damage,Focused Channel
1675,30896,49172,Channelling Speed,Channelling Speed
1676,49172,33730,Channelling Speed,Focused Channel
1677,33730,60809,Focused Channel,Channelling Mastery
1678,38876,61490,Attribute,Attribute
1679,38876,31903,Attribute,Attribute
1680,3339,45585,Attack Damage while Surrounded,Armour and Evasion while Surrounded
1681,23036,3339,Attack Damage while Surrounded,Attack Damage while Surrounded
1682,23036,59208,Attack Damage while Surrounded,Frantic Fighter
1683,46931,23036,Attack Damage while Surrounded,Attack Damage while Surrounded
1684,46931,28175,Attack Damage while Surrounded,Attribute
1685,45585,55617,Armour and Evasion while Surrounded,Armour and Evasion while Surrounded
1686,45585,37258,Armour and Evasion while Surrounded,Attribute
1687,55617,29914,Armour and Evasion while Surrounded,Armour and Evasion while Surrounded
1688,55617,19546,Armour and Evasion while Surrounded,Favourable Odds
1689,29914,46931,Armour and Evasion while Surrounded,Attack Damage while Surrounded
1690,17825,45585,Tactical Retreat,Armour and Evasion while Surrounded
1691,17825,46931,Tactical Retreat,Attack Damage while Surrounded
1692,17825,5681,Tactical Retreat,Fortify Mastery
1693,19546,5681,Favourable Odds,Fortify Mastery
1694,59208,5681,Frantic Fighter,Fortify Mastery
1695,14686,48552,Puppet Master chance,Attribute
1696,14686,53795,Puppet Master chance,Puppet Master chance
1697,53795,62210,Puppet Master chance,Puppet Master chance
1698,53795,53324,Puppet Master chance,Puppet Master chance
1699,53795,64804,Puppet Master chance,Puppet Master chance
1700,19318,53795,Puppet Master chance,Puppet Master chance
1701,33978,31609,Unstoppable Barrier,Shield Defences
1702,33978,62581,Unstoppable Barrier,Block Mastery
1703,30390,33978,Block,Unstoppable Barrier
1704,31609,36163,Shield Defences,Block
1705,36163,30390,Block,Block
1706,55536,34882,Gambler,Skill Gem Quality
1707,55536,1442,Gambler,Attributes
1708,55536,3084,Gambler,Reduced Attribute Requirements
1709,34308,37414,Personal Touch,Accuracy
1710,34308,10245,Personal Touch,Attack Mastery
1711,65193,48714,Viciousness,Attack Speed
1712,65193,10245,Viciousness,Attack Mastery
1713,36478,43014,Attack Damage,Attack Damage
1714,36478,48714,Attack Damage,Attack Speed
1715,43014,34308,Attack Damage,Personal Touch
1716,37414,65193,Accuracy,Viciousness
1717,14540,31903,Unwavering Stance,Attribute
1718,7878,53901,Shield Block,Shield Block
1719,48745,22558,Shield Block,Attribute
1720,48745,7878,Shield Block,Shield Block
1721,53901,34375,Shield Block,Shield Defences
1722,34375,48745,Shield Defences,Shield Block
1723,45612,53901,Defensive Reflexes,Shield Block
1724,9417,48121,Totem Life,Totem Elemental Resistance
1725,9417,13171,Totem Life,Totem Physical Damage Reduction
1726,10372,36191,Stun Threshold,Stun Threshold
1727,10372,55933,Stun Threshold,Attribute
1728,48240,48505,Quick Recovery,Life Mastery
1729,36191,40325,Stun Threshold,Resolution
1730,59213,48240,Stun Recovery,Quick Recovery
1731,7392,10571,Stun Threshold,Stun Threshold
1732,10571,48240,Stun Threshold,Quick Recovery
1733,60886,59213,Stun Recovery,Stun Recovery
1734,40325,7392,Resolution,Stun Threshold
1735,40325,48505,Resolution,Life Mastery
1736,6356,27900,Physical Damage and Increased Duration,Physical Damage and Increased Duration
1737,71,62376,Physical Damage and Reduced Duration,Physical Damage and Reduced Duration
1738,32859,15114,Plant Skill Damage,Boundless Growth
1739,12189,32859,Plant Skill Damage,Plant Skill Damage
1740,56547,12189,Plant Skill Damage,Plant Skill Damage
1741,15114,6356,Boundless Growth,Physical Damage and Increased Duration
1742,15114,71,Boundless Growth,Physical Damage and Reduced Duration
1743,15114,7642,Boundless Growth,Physical Mastery
1744,13171,24438,Totem Physical Damage Reduction,Hardened Wood
1745,9638,39083,Skill Speed,Blood Rush
1746,54283,26324,Armour,Armour
1747,26324,46023,Armour,Armour
1748,27950,26324,Polished Iron,Armour
1749,27950,52462,Polished Iron,Armour Mastery
1750,4128,54283,Armour,Armour
1751,4128,54811,Armour,Attribute
1752,26532,46023,Armour,Armour
1753,26532,41657,Armour,Armour
1754,26532,36629,Armour,Attribute
1755,21286,4128,Armour,Armour
1756,21286,45992,Armour,Armour
1757,45992,41657,Armour,Armour
1758,17029,45992,Blade Catcher,Armour
1759,26798,9638,Skill Speed,Skill Speed
1760,51052,22558,Attribute,Attribute
1761,51052,761,Attribute,Command Skill Cooldown
1762,51052,51183,Attribute,Armour and Energy Shield
1763,22616,51052,Attribute,Attribute
1764,22616,17468,Attribute,Attribute
1765,22616,48631,Attribute,Attribute
1766,22616,19122,Attribute,Armour if Consumed Endurance Charge
1767,53405,17468,Attribute,Attribute
1768,53405,16090,Attribute,Life Costs
1769,53405,26798,Attribute,Skill Speed
1770,53405,8693,Attribute,Armour while Bleeding
1771,22558,55933,Attribute,Attribute
1772,22558,20547,Attribute,Stun Buildup
1773,22558,62378,Attribute,Thorns
1774,59006,37956,Reduced Duration,Reduced Duration
1775,48631,35426,Attribute,Attribute
1776,48631,59006,Attribute,Reduced Duration
1777,14294,43818,Sacrificial Blood,Life Mastery
1778,48530,39130,Life Spell Damage and Costs,Life Spell Damage
1779,48530,4623,Life Spell Damage and Costs,Life Spell Costs
1780,4623,48524,Life Spell Costs,Blood Transfusion
1781,39130,14294,Life Spell Damage,Sacrificial Blood
1782,48524,43818,Blood Transfusion,Life Mastery
1783,3866,32258,Minion Life,Minion Life
1784,3866,14505,Minion Life,Minion Offence Mastery
1785,22331,8983,Minion Resistances,Minion Damage
1786,22331,40200,Minion Resistances,Minion Damage
1787,19644,14505,Left Hand of Darkness,Minion Offence Mastery
1788,32258,19644,Minion Life,Left Hand of Darkness
1789,14712,3866,Minion Life,Minion Life
1790,33612,8983,Minion Damage,Minion Damage
1791,40200,33612,Minion Damage,Minion Damage
1792,40200,61842,Minion Damage,Minion Damage
1793,61842,33240,Minion Damage,Lord of Horrors
1794,61842,14712,Minion Damage,Minion Life
1795,33240,14505,Lord of Horrors,Minion Offence Mastery
1796,45343,50483,Minion Area,Minion Area
1797,45343,14505,Minion Area,Minion Offence Mastery
1798,57021,8957,Minion Area,Right Hand of Darkness
1799,57021,45343,Minion Area,Minion Area
1800,57021,14505,Minion Area,Minion Offence Mastery
1801,8957,14505,Right Hand of Darkness,Minion Offence Mastery
1802,37594,8983,Minion Damage,Minion Damage
1803,50483,61842,Minion Area,Minion Damage
1804,61026,34552,Crystalline Flesh,Minion Offence Mastery
1805,61026,17378,Crystalline Flesh,Minion Life
1806,17378,40894,Minion Life,Minion Life
1807,40894,1218,Minion Life,Minion Life
1808,1218,14945,Minion Life,Growing Swarm
1809,8357,10742,Minion Attack and Cast Speed,Minion Attack and Cast Speed
1810,10742,41991,Minion Attack and Cast Speed,Minion Attack and Cast Speed
1811,41991,61026,Minion Attack and Cast Speed,Crystalline Flesh
1812,1447,22393,Minion Damage,Minion Damage
1813,38972,34552,Restless Dead,Minion Offence Mastery
1814,38972,8357,Restless Dead,Minion Attack and Cast Speed
1815,14945,34552,Growing Swarm,Minion Offence Mastery
1816,14945,1447,Growing Swarm,Minion Damage
1817,22393,28458,Minion Damage,Minion Damage
1818,28458,38972,Minion Damage,Restless Dead
1819,28175,64471,Attribute,Attribute
1820,28175,21716,Attribute,Life Leech
1821,28175,48026,Attribute,Banner Glory Gained
1822,62378,47633,Thorns,Thorns
1823,47633,57002,Thorns,Rough Carapace
1824,57002,48761,Rough Carapace,Thorns Mastery
1825,16725,27373,Attribute,Attribute
1826,16725,36629,Attribute,Attribute
1827,16725,54811,Attribute,Attribute
1828,16725,36163,Attribute,Block
1829,4681,48828,Gain Maximum Frenzy Charges on Gaining Frenzy Charge,Gain Maximum Frenzy Charges on Gaining Frenzy Charge
1830,4681,26228,Gain Maximum Frenzy Charges on Gaining Frenzy Charge,Prize of the Hunt
1831,25058,48828,Gain Maximum Frenzy Charges on Gaining Frenzy Charge,Gain Maximum Frenzy Charges on Gaining Frenzy Charge
1832,25058,4681,Gain Maximum Frenzy Charges on Gaining Frenzy Charge,Gain Maximum Frenzy Charges on Gaining Frenzy Charge
1833,48828,34840,Gain Maximum Frenzy Charges on Gaining Frenzy Charge,Attribute
1834,50104,47168,Attribute,Attribute
1835,50104,37594,Attribute,Minion Damage
1836,50104,7960,Attribute,[Jewel] Socket
1837,50104,46742,Attribute,Elemental Equilibrium
1838,17417,3652,Projectile Speed and Physical Damage,Projectile Speed and Physical Damage
1839,17417,27999,Projectile Speed and Physical Damage,Physical Damage and Ailment Chance
1840,43843,17417,Projectile Speed and Physical Damage,Projectile Speed and Physical Damage
1841,3652,56714,Projectile Speed and Physical Damage,Swift Flight
1842,56714,47212,Swift Flight,Projectile Mastery
1843,27999,45777,Physical Damage and Ailment Chance,Hidden Barb
1844,45777,47212,Hidden Barb,Projectile Mastery
1845,18146,57819,Reduced Attribute Requirements,Integrated Efficiency
1846,48121,24438,Totem Elemental Resistance,Hardened Wood
1847,4931,21404,Dependable Ward,Energy Shield Delay
1848,4931,27307,Dependable Ward,Energy Shield Mastery
1849,42825,31238,Energy Shield Delay,Attribute
1850,21404,42825,Energy Shield Delay,Energy Shield Delay
1851,27674,44082,Energy Shield Delay,Energy Shield Delay
1852,44082,4931,Energy Shield Delay,Dependable Ward
1853,32745,50104,Physical Damage,Attribute
1854,32745,61179,Physical Damage,Spell Critical Chance
1855,24438,46748,Hardened Wood,Totem Life
1856,24438,17745,Hardened Wood,Totem Mastery
1857,40276,32745,Bleed Chance,Physical Damage
1858,40276,60241,Bleed Chance,Bleed Chance
1859,60241,57178,Bleed Chance,Spell Critical Chance and Critical Ailment Effect
1860,51618,11580,Life Costs and Regeneration,Life Regeneration Rate
1861,51618,43324,Life Costs and Regeneration,Life Costs
1862,43324,57596,Life Costs,Life Costs
1863,57596,13468,Life Costs,Give Up Your Essence
1864,13468,51454,Give Up Your Essence,Life Mastery
1865,11580,34769,Life Regeneration Rate,Life Regeneration Rate
1866,34769,52115,Life Regeneration Rate,Nurturing Nature
1867,52115,51454,Nurturing Nature,Life Mastery
1868,17762,2964,Vengeance,Thorns and Leech
1869,17762,28476,Vengeance,Thorns Mastery
1870,2964,18374,Thorns and Leech,Thorns and Leech
1871,95,8737,Minion Damage,Minion Damage
1872,61444,17411,Wasting Casts,Caster Mastery
1873,61444,34096,Wasting Casts,Spell Damage
1874,58096,17411,Lasting Incantations,Caster Mastery
1875,6008,58096,Spell Damage,Lasting Incantations
1876,29652,15180,Spell Damage,Spell Hinder
1877,29652,6008,Spell Damage,Spell Damage
1878,29652,32194,Spell Damage,Attribute
1879,15180,61444,Spell Hinder,Wasting Casts
1880,34096,58096,Spell Damage,Lasting Incantations
1881,26490,12751,One Handed Critical Chance,One Handed Critical Chance
1882,6229,26490,Push the Advantage,One Handed Critical Chance
1883,13356,6229,One Handed Damage,Push the Advantage
1884,18489,13356,One Handed Damage,One Handed Damage
1885,18489,12751,One Handed Damage,One Handed Critical Chance
1886,18489,37258,One Handed Damage,Attribute
1887,31903,37612,Attribute,Attribute
1888,31903,56605,Attribute,Bulwark
1889,31903,38010,Attribute,Glory Generation and Attack Damage
1890,3084,30996,Reduced Attribute Requirements,Gem Studded
1891,58183,60241,Blood Tearing,Bleed Chance
1892,58183,21245,Blood Tearing,Spell Critical Chance
1893,58183,32278,Blood Tearing,Minion Offence Mastery
1894,25990,43461,Fire Damage and Attack Damage,Fire Damage and Attack Damage
1895,43461,51299,Fire Damage and Attack Damage,Attribute
1896,25753,63268,Blazing Arms,Fire Mastery
1897,25753,25990,Blazing Arms,Fire Damage and Attack Damage
1898,32932,14205,Ichlotl's Inferno,Rage on Ignite
1899,32932,63268,Ichlotl's Inferno,Fire Mastery
1900,29372,7720,Sudden Infuriation,Rage on Ignite
1901,29372,63268,Sudden Infuriation,Fire Mastery
1902,53989,29372,Rage on Hit,Sudden Infuriation
1903,36389,53989,Rage on Hit,Rage on Hit
1904,7720,32932,Rage on Ignite,Ichlotl's Inferno
1905,14205,25753,Rage on Ignite,Blazing Arms
1906,46748,51206,Totem Life,Totem Damage
1907,46748,60568,Totem Life,Totem Placement Speed
1908,4661,12821,Inspiring Leader,Banner Glory Gained
1909,4661,65353,Inspiring Leader,Banner Mastery
1910,53367,12821,Symbol of Defiance,Banner Glory Gained
1911,53367,65353,Symbol of Defiance,Banner Mastery
1912,10835,48026,Banner Duration,Banner Glory Gained
1913,10835,53367,Banner Duration,Symbol of Defiance
1914,20842,48026,Banner Area,Banner Glory Gained
1915,20842,4661,Banner Area,Inspiring Leader
1916,65439,12821,Banner Aura Effect,Banner Glory Gained
1917,48026,65439,Banner Glory Gained,Banner Aura Effect
1918,48026,6623,Banner Glory Gained,Banner Aura Effect
1919,6623,12821,Banner Aura Effect,Banner Glory Gained
1920,61179,21245,Spell Critical Chance,Spell Critical Chance
1921,13352,59180,Glory Generation and Attack Damage,Attack Damage
1922,13352,38010,Glory Generation and Attack Damage,Glory Generation and Attack Damage
